"Entry_Time","Entry_Price","Exit_Time","Exit_Price","Strategy","PnL","Status"
"2025-05-30T09:34:00.000Z",105177.38,"2025-05-30T09:37:00.000Z",105016.83,"RSI-EMA",-161,"Loss"
"2025-05-30T09:45:00.000Z",105141.47,"2025-05-30T09:47:00.000Z",105100.74,"RSI-EMA",-41,"Loss"
"2025-05-30T09:47:00.000Z",105100.74,"2025-05-30T10:07:00.000Z",105475.92,"MACD Crossover",375,"Win"
"2025-05-30T09:52:00.000Z",105303.96,"2025-05-30T09:53:00.000Z",105310.32,"RSI-EMA",6,"Win"
"2025-05-30T09:54:00.000Z",105429.88,"2025-05-30T10:00:00.000Z",105581.43,"RSI-EMA",152,"Win"
"2025-05-30T10:01:00.000Z",105694.13,"2025-05-30T10:03:00.000Z",105686.26,"RSI-EMA",-8,"Loss"
"2025-05-30T10:04:00.000Z",105546.8,"2025-05-30T10:09:00.000Z",105389.89,"RSI-EMA",-157,"Loss"
"2025-05-30T10:19:00.000Z",105516.73,"2025-05-30T10:20:00.000Z",105501.2,"RSI-EMA",-16,"Loss"
"2025-05-30T10:21:00.000Z",105597.48,"2025-05-30T10:27:00.000Z",105588.28,"RSI-EMA",-9,"Loss"
"2025-05-30T10:22:00.000Z",105649.99,"2025-05-30T10:35:00.000Z",105628.34,"MACD Crossover",-22,"Loss"
"2025-05-30T10:28:00.000Z",105629.6,"2025-05-30T10:34:00.000Z",105626.06,"RSI-EMA",-4,"Loss"
"2025-05-30T10:36:00.000Z",105726.83,"2025-05-30T10:42:00.000Z",105743.1,"RSI-EMA",16,"Win"
"2025-05-30T10:39:00.000Z",105767.54,"2025-05-30T10:52:00.000Z",105877.73,"MACD Crossover",110,"Win"
"2025-05-30T10:43:00.000Z",105814.08,"2025-05-30T10:50:00.000Z",105848.7,"RSI-EMA",35,"Win"
"2025-05-30T10:51:00.000Z",105835.47,"2025-05-30T11:00:00.000Z",105836.23,"RSI-EMA",1,"Win"
"2025-05-30T11:01:00.000Z",105877.34,"2025-05-30T11:02:00.000Z",105848.08,"RSI-EMA",-29,"Loss"
"2025-05-30T11:06:00.000Z",105890.21,"2025-05-30T11:13:00.000Z",105827.73,"RSI-EMA",-62,"Loss"
"2025-05-30T11:18:00.000Z",105924.82,"2025-05-30T11:26:00.000Z",105752.8,"RSI-EMA",-172,"Loss"
"2025-05-30T11:32:00.000Z",105834.54,"2025-05-30T11:33:00.000Z",105762.65,"RSI-EMA",-72,"Loss"
"2025-05-30T11:37:00.000Z",105846.62,"2025-05-30T11:41:00.000Z",105809.53,"RSI-EMA",-37,"Loss"
"2025-05-30T11:38:00.000Z",105888.88,"2025-05-30T11:47:00.000Z",105757.3,"MACD Crossover",-132,"Loss"
"2025-05-30T11:44:00.000Z",105802.39,"2025-05-30T11:46:00.000Z",105780.95,"RSI-EMA",-21,"Loss"
"2025-05-30T11:53:00.000Z",105887.47,"2025-05-30T12:07:00.000Z",105933.76,"MACD Crossover",46,"Win"
"2025-05-30T11:53:00.000Z",105887.47,"2025-05-30T12:00:00.000Z",105860.16,"RSI-EMA",-27,"Loss"
"2025-05-30T12:08:00.000Z",105900.01,"2025-05-30T12:09:00.000Z",105674.39,"MACD Crossover",-226,"Loss"
